Reach,WDID
14050001002526,4403673
14050002001454,4403675
14050002001457,4403689
14050001002562,4403701
14050001002539,4403706
14050002001455,4403728
14050002001447,4403736
14050002001448,4403911
14050001002531,4403925
14050001008572,4404139
14050001002576,4404640
14050003011311,5403948
14050002005802,5503555
14050001010173,5703509
14050001002491,5703550
14050001002506,5703560
14050001002505,5703572
14050001002504,5803508
14050001002406,5803512
14050001002419,5803521
14050001002507,5803522
14050001002591,5803532
14050001002568,5803754
14050001002588,5803786
14050001002559,5803856
14050001002453,5804359
14050001002422,5804360
14050001002450,5804364
14050001002442,5804374
14050001002455,5804375
14050001002428,5804377
14050002005844,4404381
14050002001452,4403674
14050001002487,4404453
14050001002601,5803783
14050001002596,5803540
14050001002593,5803776
14050001002589,5803545
14050001011085,5804240
14050001002587,5803511
14050001002569,5803513
14050001002567,5803525
14050001002561,5703667
14050001002560,5703583
14050001002557,5803500
14050001002556,5803539
14050001002551,5803506
14050001002549,5803547
14050001002564,5803518
14050001009657,5803503
14050001021460,5804213
14050001002535,5803770
14050001002538,5803564
14050001008072,5803631
14050001002500,5804356
14050001009030,5703605
14050001002520,5703577
14050001002516,5703586
14050001002439,5804379
14050001002411,5803787
14050001002434,4403677
14050001002443,4403724
14050003002069,5403780
14050003002065,5403589
14050003002058,5403944
14050001002414,4403738
14050001002495,5703786
14050001002447,5703574
14050001002488,5803519
14050001008459,5703549
14050001002540,4403929
14050001002532,4403790
14050001002533,4403698
14050001002550,4403681
